BATTER_ID,BATTER_NAME
605152,Jed Bradley
110625,Manuel Barrios
118336,Frank Martin
111603,Byron Browne
800935,John Jackson
113051,Rolla Daringer
111880,Fred Caligiuri
115817,Liván Hernández
818638,W. H. Kelly
117263,Steve Korcheck
-1,R. F. Cook
122501,Pop Snyder
122925,Tony Suck
117218,Mark Knudson
594987,Casey Sadler
115724,Hank Helf
219594,Tomo Ohka
121937,Jack Scott
117827,Larry Littleton
553832,Tracy Ringolsby
680911,Owen Miller
117740,Mark Lewis
407900,Miguel Asencio
669242,Tommy Edman
123254,Kite Thomas
430655,Jorge Vásquez
111361,Neal Brady
121259,John Roach
817576,Bill Reynolds
703231,James Meeker
660636,Diego Castillo
819385,George Giles
116963,Billy Kelly
111391,Mike Brannock
110907,Al Bergman
115869,George Hesselbacher
119255,Ed Montague
123267,Bill Thomas
110478,Jesse Baker
112952,John Curran
123168,Pussy Tebeau
114307,Tom Ford
122469,Bill Smith
123087,Lee Tannehill
112443,George Coffman
112040,Don Carrithers
121605,Alex Sabo
431088,Bob Webb
124589,Jimmy Woulfe
115153,Tommy Griffith
118729,Slim Mcgrew
113525,Jeff Doyle
118394,Leech Maskrey
817402,Frank Russell
818695,A. Jones
122302,John Skopec
816448,Leovigildo Xiqués
818458,Coley Logan
137203,Dan Smith
570666,Luis Cessa
111852,Craig Cacek
113320,Charlie Dewald
123963,Herb Washington
123602,Julio Valdez
118928,Dutch Mele
430963,Tony Peña
123847,Jim Walkup
124296,Davey Williams
116533,Jackie Jensen
642239,Rob Zastryzny
117084,Lynn King
124568,Kerry Woodson
113526,Jess Doyle
122044,Greg Shanahan
122671,Joe Stanley
457826,Tom Mastny
676914,Davis Schneider
819103,Leroy Haynes
120783,Earl Pruess
282562,Adam Pettyjohn
434670,Hanley Ramírez
121701,Edward Santry
121198,Joe Riggert
819113,Johnny Hayes
110472,Floyd Baker
819859,G. Davis
819510,Frank Forbes
117951,Fletcher Low
121564,Reb Russell
642094,Tyler Smith
116497,Roy Jarvis
819697,Bill Duffy
816518,Elmer Wilson
111982,Leo Cárdenas
119805,Al Nipper
118137,Bill Magee
115849,Herb Herring
114941,Lee Gooch
448609,Tony Sipp
346858,Eric Valent
111399,Kitty Brashear
112566,Jocko Conlon
117893,Jeoff Long
119053,Mike Miley
118173,Duster Mails
